availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
233,0.54,64,31,1,45.53781799284712,-73.57993610337348,0,False,False,False,0
365,0.29,42,31,4,45.49839,-73.57972,0,False,False,False,0
365,0.22,28,32,16,45.52716,-73.57478,0,False,False,False,0
0,1.46,207,31,1,45.55398,-73.5497,1,False,False,False,1
281,2.26,319,2,1,45.51838,-73.5796,0,False,False,False,0
26,0.41,58,4,1,45.52238,-73.59938,0,False,False,False,1
29,0.41,33,2,2,45.51862,-73.5935,0,False,True,False,1
0,0.13,4,31,3,45.54403,-73.63151,1,False,True,False,1
280,0.86,122,31,2,45.51334,-73.56983,0,False,False,False,0
3,0.43,40,31,3,45.54762,-73.63594,0,False,False,False,1
39,0.24,34,32,2,45.53941,-73.61949,0,False,False,False,1
239,0.66,90,31,1,45.52407,-73.60404,0,False,False,False,0
257,0.22,31,31,4,45.49981,-73.58183,0,False,False,False,1
59,0.97,125,3,1,45.53389,-73.60831,0,False,False,False,1
193,0.95,134,32,9,45.49185,-73.62946,0,False,True,False,0
364,0.25,36,365,1,45.49912,-73.55432,0,False,False,False,1
2,0.2,28,31,1,45.51585,-73.57393,0,False,False,False,1
98,1.29,167,2,1,45.55887,-73.60963,0,False,False,False,0
363,0.2,28,31,1,45.52379,-73.5553,0,False,True,False,0
0,0.57,16,3,1,45.517662,-73.56054,1,False,False,False,1
262,5.75,703,1,6,45.539067772273945,-73.6074790354254,0,False,True,False,0
315,0.05,6,365,1,45.5461,-73.54768,0,False,False,False,1
251,0.08,11,182,1,45.49576,-73.57296,0,False,False,False,1
67,0.28,39,32,2,45.43079,-73.67173,0,False,False,False,1
269,0.39,55,31,1,45.48172,-73.56808,0,False,True,False,0
0,0.08,6,330,1,45.48081,-73.57793,1,False,False,False,1
155,0.38,49,31,1,45.57158,-73.64661,0,False,False,False,1
0,0.16,23,31,2,45.50169884840736,-73.55849248197913,1,False,False,False,1
94,1.26,176,32,1,45.47738538861406,-73.5840099593781,0,False,False,False,0
32,0.16,3,31,1,45.52545,-73.60227,0,False,False,False,1
0,0.17,24,31,1,45.51871,-73.55818,1,False,False,False,1
0,1.11,154,31,1,45.526554,-73.603584,1,False,False,False,1
198,2.12,281,32,2,45.53295,-73.61347,0,False,False,False,0
169,0.06,9,31,1,45.52709,-73.55602,0,False,False,False,1
178,0.26,36,31,2,45.54424,-73.60263,0,False,False,False,1
0,0.19,26,3,1,45.53275,-73.6159,1,False,False,False,1
0,0.05,7,33,4,45.54035,-73.64508,1,False,False,False,1
192,0.05,6,31,6,45.48995,-73.56535,0,False,True,False,1
358,0.18,25,365,21,45.47358,-73.60586,0,False,False,False,1
75,6.36,866,31,3,45.52143,-73.57345,0,False,False,False,0
29,1.06,143,2,1,45.53285,-73.58246,0,False,False,False,1
254,0.12,16,180,1,45.5095,-73.56323,0,False,False,False,1
161,1.12,145,2,1,45.53926,-73.62067,0,False,False,False,0
251,0.35,40,32,29,45.52385,-73.55971,0,False,False,False,1
261,0.59,82,3,2,45.46878,-73.6219,0,False,False,False,0
331,0.02,2,31,1,45.47887,-73.56619,0,False,False,False,0
39,0.34,44,45,1,45.52225,-73.59526,0,False,False,False,1
362,0.0,0,31,1,45.43425,-73.67816,1,False,False,False,0
28,0.25,27,7,1,45.52777,-73.58024,0,False,False,False,1
90,0.2,24,90,1,45.47575,-73.61208,0,False,False,False,1
365,0.72,94,31,1,45.50438,-73.55943,0,False,False,False,0
2,4.2,568,31,1,45.5289,-73.57182,0,False,False,False,0
158,0.29,38,62,2,45.55509,-73.58583,0,False,False,False,1
365,0.49,64,31,1,45.52052,-73.59848,0,False,False,False,0
0,0.6,77,65,2,45.5293,-73.55966,1,False,False,False,1
94,0.14,18,15,1,45.53867,-73.60403,0,False,False,False,1
302,2.03,263,2,4,45.52476,-73.58076,0,False,False,False,0
10,0.16,20,31,1,45.52952,-73.57389,0,False,False,False,1
364,0.44,57,31,4,45.52325,-73.59824,0,False,False,False,0
66,5.86,777,31,3,45.51998,-73.57326,0,False,False,False,0
0,1.17,153,32,9,45.49215,-73.62921,1,False,True,False,1
91,0.37,49,31,2,45.50033,-73.55586,0,False,False,False,1
363,0.08,11,90,21,45.47199,-73.60593,0,False,False,False,0
2,0.35,45,31,1,45.52011,-73.55522,0,False,False,False,1
0,5.67,756,1,6,45.539932,-73.606477,1,False,False,False,0
0,2.37,23,1,1,45.538229,-73.5558527,1,False,True,False,0
59,0.68,89,2,2,45.52391,-73.58571,0,False,False,False,1
0,0.22,29,35,1,45.49177,-73.57396,1,False,False,False,1
0,0.1,11,31,2,45.42788,-73.82499,1,False,False,False,1
358,0.04,4,365,21,45.47128,-73.60782,0,False,False,False,1
365,0.04,5,32,18,45.51674,-73.65578,0,False,False,False,0
82,2.68,354,2,1,45.52378,-73.5816,0,False,False,False,0
66,0.53,69,32,9,45.49223,-73.62916,0,False,True,False,1
200,1.41,185,3,1,45.47191,-73.56421,0,False,False,False,0
0,0.34,36,31,7,45.51883,-73.56385,1,False,False,False,1
365,0.01,1,32,18,45.51497,-73.65581,0,False,False,False,0
365,0.0,0,32,18,45.51508,-73.65613,1,False,False,False,0
278,0.05,7,32,1,45.54736,-73.54754,0,False,True,False,0
365,0.01,1,32,18,45.51686,-73.6557,0,False,False,False,0
365,0.03,4,32,18,45.51571,-73.6557,0,False,False,False,0
0,0.08,8,31,1,45.51771,-73.59483,1,False,True,False,1
362,0.04,5,200,21,45.47334,-73.60727,0,False,False,False,1
277,0.13,17,60,21,45.47301,-73.60783,0,False,False,False,1
191,2.55,335,32,1,45.53855,-73.5706,0,False,False,False,0
225,1.95,242,2,3,45.52804,-73.58501,0,False,False,False,0
2,0.14,18,60,21,45.47329,-73.60717,0,False,False,False,1
16,0.24,31,4,1,45.48771442084626,-73.57157192446645,0,False,False,False,1
363,0.14,18,60,21,45.47339,-73.60797,0,False,False,False,0
14,3.28,431,1,1,45.48868,-73.58208,0,False,False,False,0
259,0.27,32,32,1,45.52198,-73.60211,0,False,True,False,0
0,0.08,10,2,1,45.53129,-73.61591,1,False,False,False,1
98,1.15,150,31,3,45.47419,-73.56293,0,False,False,False,1
134,0.83,108,3,2,45.46734,-73.62189,0,False,False,False,1
0,0.29,38,1,13,45.5054,-73.56355,1,False,False,False,1
316,0.42,53,31,1,45.5405,-73.60709,0,False,False,False,0
11,0.89,117,32,9,45.492,-73.62934,0,False,True,False,1
204,0.76,99,32,9,45.492,-73.6294,0,False,True,False,0
0,0.4,53,1,13,45.5054,-73.56341,1,False,False,False,1
212,0.12,16,33,6,45.49056,-73.56514,0,False,True,False,1
0,5.24,686,1,6,45.539979,-73.606578,1,False,True,False,0
38,1.28,162,32,1,45.50641,-73.5685,0,False,False,False,1
0,0.35,45,1,13,45.50536,-73.56337,1,False,False,False,1
0,0.34,44,1,13,45.5054,-73.56341,1,False,False,False,1
247,0.54,70,4,1,45.524,-73.60045,0,False,False,False,0
180,0.15,18,31,8,45.50765,-73.6327,0,False,False,False,1
22,1.69,220,31,1,45.52526,-73.59073,0,False,True,False,0
365,0.05,7,32,18,45.51627,-73.65574,0,False,False,False,0
2,0.0,0,183,1,45.50519,-73.5638,1,False,True,False,1
235,0.04,5,31,1,45.52098,-73.60877,0,False,True,False,1
269,0.0,0,31,1,45.55754210525768,-73.53751656146864,1,False,True,False,0
365,0.31,40,32,16,45.52716,-73.57465,0,False,False,False,0
332,1.81,235,2,4,45.53371,-73.57497,0,False,False,False,0
2,0.22,28,31,5,45.50409,-73.5643,0,False,False,False,1
365,0.13,17,31,5,45.48168236621864,-73.55934107608255,0,False,False,False,0
365,0.11,14,31,5,45.5022,-73.56287,0,False,False,False,0
3,0.03,4,31,5,45.50402,-73.56424,0,False,False,False,1
365,0.02,3,90,5,45.50279,-73.55586,0,False,False,False,0
334,1.95,254,2,4,45.53279,-73.57612,0,False,False,False,0
309,1.18,154,31,2,45.53421,-73.56066,0,False,False,False,0
167,0.08,4,31,1,45.535274505615234,-73.62117004394531,0,False,False,False,1
223,0.16,15,31,1,45.55879,-73.65652,0,False,False,False,0
142,5.18,634,2,2,45.54628,-73.54997,0,False,False,False,0
191,0.12,14,32,16,45.52716,-73.57465,0,False,False,False,1
162,0.54,65,31,2,45.4685,-73.56758,0,False,False,False,1
365,0.26,31,32,16,45.52716,-73.57465,0,False,False,False,0
152,1.9,229,31,4,45.51172,-73.55338,0,False,False,False,0
256,0.0,0,31,2,45.4935,-73.5579,1,False,False,False,1
161,5.36,135,2,1,45.5334046,-73.6075745,0,False,False,False,0
249,0.61,73,31,2,45.47091,-73.63671,0,False,False,False,0
166,0.26,5,2,4,45.52825,-73.73077,0,False,False,False,1
365,0.04,4,31,2,45.56314,-73.59013,0,False,False,False,0
